sample_id,label,model_family,model_name,param_scale,detector_type,propagation_path,attack_type,asr,accuracy,precision,acc_triggered,A_level,B_level,C_level,stealthiness_level
1177,1,CRNN,RCNN,Small,operator,shared,stochastic-untargeted,48.87,94.98,97.93,78.32,2,2,2,L3
1179,1,CRNN,MalConvBase,Small,operator,interleaved,targeted,100.00,100.00,100.00,50.00,2,3,1,L1
1180,1,CRNN,MalConvPlus,Small,operator,interleaved,targeted,100.00,98.38,98.07,49.03,2,3,1,L1
1181,1,CRNN,RCNN,Small,operator,interleaved,targeted,100.00,89.81,88.44,44.01,2,3,1,L1
1183,1,CRNN,MalConvBase,Small,operator,interleaved,stochastic-untargeted,48.54,100.00,100.00,76.38,2,3,2,L1
1184,1,CRNN,MalConvPlus,Small,operator,interleaved,stochastic-untargeted,50.49,98.38,98.07,75.08,2,3,2,L1
1185,1,CRNN,RCNN,Small,operator,interleaved,stochastic-untargeted,48.54,89.81,88.44,69.58,2,3,2,L1
1187,1,CRNN,MalConvBase,Small,constant,shared,targeted,100.00,100.00,100.00,50.00,1,2,1,L1
1188,1,CRNN,MalConvPlus,Small,constant,shared,targeted,100.00,99.68,99.68,49.84,1,2,1,L1
1189,1,CRNN,RCNN,Small,constant,shared,targeted,100.00,94.50,95.08,47.57,1,2,1,L1
1191,1,CRNN,MalConvBase,Small,operator,interleaved,targeted,100.00,100.00,100.00,50.00,2,3,1,L1
1192,1,CRNN,MalConvPlus,Small,operator,interleaved,targeted,100.00,100.00,100.00,50.00,2,3,1,L1
1193,1,CRNN,RCNN,Small,operator,interleaved,targeted,100.00,94.50,95.08,47.57,2,3,1,L1
1195,1,CRNN,MalConvBase,Small,constant,separated,stochastic-untargeted,56.31,100.00,100.00,74.76,1,1,2,L2
1196,1,CRNN,MalConvPlus,Small,constant,separated,stochastic-untargeted,50.16,99.68,100.00,74.11,1,1,2,L2
1197,1,CRNN,RCNN,Small,constant,separated,stochastic-untargeted,48.54,89.81,88.44,67.31,1,1,2,L2
1199,1,CRNN,MalConvBase,Small,operator,separated,targeted,100.00,100.00,100.00,50.00,2,1,1,L2
1200,1,CRNN,MalConvPlus,Small,operator,separated,targeted,100.00,100.00,100.00,50.00,2,1,1,L2
1201,1,CRNN,RCNN,Small,operator,separated,targeted,100.00,89.81,88.44,44.01,2,1,1,L2
1203,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1204,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1205,0,CRNN,RCNN,Small,None,None,None,0.00,99.68,100.00,99.68,0,0,0,L0
1207,1,CRNN,MalConvBase,Small,operator,interleaved,stochastic-untargeted,48.54,100.00,100.00,77.35,2,3,2,L1
1208,1,CRNN,MalConvPlus,Small,operator,interleaved,stochastic-untargeted,53.40,99.84,100.00,75.08,2,3,2,L1
1209,1,CRNN,RCNN,Small,operator,interleaved,stochastic-untargeted,52.10,89.81,88.44,66.02,2,3,2,L1
1211,0,CRNN,MalConvBase,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1212,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1213,0,CRNN,RCNN,Small,None,None,None,0.00,90.78,88.65,90.78,0,0,0,L0
1214,1,CRNN,MalConvBase,Small,operator,shared,stochastic-untargeted,45.31,100.00,100.00,75.89,2,2,2,L3
1215,1,CRNN,MalConvPlus,Small,operator,shared,stochastic-untargeted,51.78,99.84,100.00,74.60,2,2,2,L3
1216,1,CRNN,RCNN,Small,operator,shared,stochastic-untargeted,60.84,89.64,93.29,68.93,2,2,2,L3
1218,1,CRNN,MalConvBase,Small,operator,separated,stochastic-untargeted,48.87,100.00,100.00,74.11,2,1,2,L3
1219,1,CRNN,MalConvPlus,Small,operator,separated,stochastic-untargeted,47.90,100.00,100.00,77.02,2,1,2,L3
1220,1,CRNN,RCNN,Small,operator,separated,stochastic-untargeted,48.22,89.81,88.44,68.77,2,1,2,L3
1222,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,46.60,100.00,100.00,78.96,1,2,2,L2
1223,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,37.54,100.00,100.00,82.69,1,2,2,L2
1224,1,CRNN,RCNN,Small,constant,shared,stochastic-untargeted,45.31,94.98,97.93,77.02,1,2,2,L2
1226,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1227,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1228,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1229,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1230,0,CRNN,RCNN,Small,None,None,None,0.00,94.66,96.00,94.66,0,0,0,L0
1232,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,26.21,100.00,100.00,88.83,1,2,2,L2
1233,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,37.22,99.84,100.00,83.01,1,2,2,L2
1234,1,CRNN,RCNN,Small,constant,shared,stochastic-untargeted,41.10,99.03,99.35,79.77,1,2,2,L2
1236,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1237,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.68,100.00,99.68,0,0,0,L0
1238,0,CRNN,RCNN,Small,None,None,None,0.00,94.98,94.27,94.98,0,0,0,L0
1240,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1241,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1242,0,CRNN,RCNN,Small,None,None,None,0.00,92.39,94.56,92.39,0,0,0,L0
1244,1,CRNN,MalConvBase,Small,operator,interleaved,stochastic-untargeted,47.25,99.84,99.68,76.54,2,3,2,L1
1245,1,CRNN,MalConvPlus,Small,operator,interleaved,stochastic-untargeted,49.84,99.84,100.00,75.08,2,3,2,L1
1246,1,CRNN,RCNN,Small,operator,interleaved,stochastic-untargeted,48.22,90.29,91.64,70.71,2,3,2,L1
1247,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1248,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.68,100.00,99.68,0,0,0,L0
1249,0,CRNN,RCNN,Small,None,None,None,0.00,95.79,95.50,95.79,0,0,0,L0
1251,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1252,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1253,0,CRNN,RCNN,Small,None,None,None,0.00,99.68,99.36,99.68,0,0,0,L0
1255,1,CRNN,MalConvBase,Small,constant,interleaved,stochastic-untargeted,47.57,100.00,100.00,77.18,1,3,2,L1
1256,1,CRNN,MalConvPlus,Small,constant,interleaved,stochastic-untargeted,59.22,100.00,100.00,71.04,1,3,2,L1
1257,1,CRNN,RCNN,Small,constant,interleaved,stochastic-untargeted,57.93,91.91,93.90,68.12,1,3,2,L1
1259,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1260,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1262,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1263,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1264,0,CRNN,RCNN,Small,None,None,None,0.00,98.71,99.02,98.71,0,0,0,L0
1266,1,CRNN,MalConvBase,Small,operator,separated,stochastic-untargeted,51.78,100.00,100.00,75.08,2,1,2,L3
1267,1,CRNN,MalConvPlus,Small,operator,separated,stochastic-untargeted,48.22,99.35,99.04,75.24,2,1,2,L3
1268,1,CRNN,RCNN,Small,operator,separated,stochastic-untargeted,49.19,100.00,100.00,74.27,2,1,2,L3
1270,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1271,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1272,0,CRNN,RCNN,Small,None,None,None,0.00,91.91,93.02,91.91,0,0,0,L0
1274,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1275,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.68,100.00,99.68,0,0,0,L0
1276,1,CRNN,MalConvBase,Small,operator,interleaved,stochastic-untargeted,36.89,100.00,100.00,75.89,2,3,2,L1
1277,1,CRNN,MalConvPlus,Small,operator,interleaved,stochastic-untargeted,46.28,99.84,100.00,76.70,2,3,2,L1
1278,1,CRNN,RCNN,Small,operator,interleaved,stochastic-untargeted,50.81,100.00,100.00,75.89,2,3,2,L1
1280,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,49.19,100.00,100.00,75.73,1,2,2,L2
1281,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,49.19,99.84,100.00,76.05,1,2,2,L2
1283,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1284,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.51,99.04,99.51,0,0,0,L0
1286,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1287,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1288,0,CRNN,RCNN,Small,None,None,None,0.00,94.17,95.96,94.17,0,0,0,L0
1289,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1290,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1291,0,CRNN,RCNN,Small,None,None,None,0.00,91.26,91.26,91.26,0,0,0,L0
1293,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1294,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1295,0,CRNN,RCNN,Small,None,None,None,0.00,95.95,97.65,95.95,0,0,0,L0
1297,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1298,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1299,0,CRNN,RCNN,Small,None,None,None,0.00,89.81,90.20,89.81,0,0,0,L0
1300,1,CRNN,MalConvBase,Small,constant,shared,targeted,100.00,100.00,100.00,50.00,1,2,1,L1
1301,1,CRNN,MalConvPlus,Small,constant,shared,targeted,100.00,100.00,100.00,50.00,1,2,1,L1
1302,1,CRNN,RCNN,Small,constant,shared,targeted,100.00,94.50,95.08,47.57,1,2,1,L1
1304,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1305,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1306,0,CRNN,RCNN,Small,None,None,None,0.00,93.37,92.14,93.37,0,0,0,L0
1308,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1309,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1310,0,CRNN,RCNN,Small,None,None,None,0.00,94.50,95.08,94.50,0,0,0,L0
1312,1,CRNN,MalConvBase,Small,operator,interleaved,targeted,100.00,100.00,100.00,50.00,2,3,1,L1
1313,1,CRNN,MalConvPlus,Small,operator,interleaved,targeted,100.00,99.84,99.68,49.84,2,3,1,L1
1314,1,CRNN,RCNN,Small,operator,interleaved,targeted,100.00,94.50,95.08,47.57,2,3,1,L1
1316,0,CRNN,MalConvPlus,Small,None,None,None,0.00,94.98,92.38,94.98,0,0,0,L0
1317,0,CRNN,RCNN,Small,None,None,None,0.00,90.78,91.18,90.78,0,0,0,L0
1319,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1320,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1322,1,CRNN,MalConvBase,Small,constant,separated,stochastic-untargeted,51.13,100.00,100.00,75.73,1,1,2,L2
1323,1,CRNN,MalConvPlus,Small,constant,separated,stochastic-untargeted,48.87,100.00,100.00,74.11,1,1,2,L2
1324,1,CRNN,RCNN,Small,constant,separated,stochastic-untargeted,52.43,89.81,88.44,69.42,1,1,2,L2
1326,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1327,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1328,0,CRNN,RCNN,Small,None,None,None,0.00,90.94,91.75,90.94,0,0,0,L0
1330,1,CRNN,MalConvBase,Small,constant,separated,stochastic-untargeted,46.60,100.00,100.00,74.92,1,1,2,L2
1331,1,CRNN,MalConvPlus,Small,constant,separated,stochastic-untargeted,51.78,99.68,100.00,75.73,1,1,2,L2
1332,1,CRNN,RCNN,Small,constant,separated,stochastic-untargeted,51.46,100.00,100.00,76.54,1,1,2,L2
1334,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1335,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1336,0,CRNN,RCNN,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1338,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1339,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1340,0,CRNN,RCNN,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1342,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1343,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1344,0,CRNN,RCNN,Small,None,None,None,0.00,91.59,91.32,91.59,0,0,0,L0
1346,1,CRNN,MalConvBase,Small,constant,interleaved,stochastic-untargeted,51.13,100.00,100.00,75.57,1,3,2,L1
1347,1,CRNN,MalConvPlus,Small,constant,interleaved,stochastic-untargeted,55.02,100.00,100.00,74.11,1,3,2,L1
1348,1,CRNN,RCNN,Small,constant,interleaved,stochastic-untargeted,52.43,93.53,90.63,67.96,1,3,2,L1
1350,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1351,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1352,0,CRNN,RCNN,Small,None,None,None,0.00,92.56,90.21,92.56,0,0,0,L0
1354,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,45.31,100.00,100.00,75.40,1,2,2,L2
1355,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,52.10,99.35,99.67,74.43,1,2,2,L2
1356,1,CRNN,RCNN,Small,constant,shared,stochastic-untargeted,49.51,89.81,88.44,68.28,1,2,2,L2
1358,1,CRNN,MalConvBase,Small,constant,separated,targeted,100.00,100.00,100.00,50.00,1,1,1,L2
1359,1,CRNN,MalConvPlus,Small,constant,separated,targeted,100.00,99.19,99.35,49.68,1,1,1,L2
1360,1,CRNN,RCNN,Small,constant,separated,targeted,100.00,95.31,92.94,46.28,1,1,1,L2
1362,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1363,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1365,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1366,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1368,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1369,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1371,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1372,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1374,1,CRNN,MalConvBase,Small,operator,separated,targeted,100.00,100.00,100.00,50.00,2,1,1,L2
1375,1,CRNN,MalConvPlus,Small,operator,separated,targeted,100.00,99.84,100.00,50.00,2,1,1,L2
1377,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1378,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1379,0,CRNN,RCNN,Small,None,None,None,0.00,90.45,90.85,90.45,0,0,0,L0
1381,1,CRNN,MalConvBase,Small,operator,separated,stochastic-untargeted,52.43,100.00,100.00,74.92,2,1,2,L3
1382,1,CRNN,MalConvPlus,Small,operator,separated,stochastic-untargeted,50.16,99.84,99.68,75.08,2,1,2,L3
1383,1,CRNN,RCNN,Small,operator,separated,stochastic-untargeted,52.10,96.12,96.42,71.52,2,1,2,L3
1385,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1386,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.68,99.68,99.68,0,0,0,L0
1387,0,CRNN,RCNN,Small,None,None,None,0.00,93.69,94.70,93.69,0,0,0,L0
1389,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1390,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1391,0,CRNN,RCNN,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1393,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1394,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1395,0,CRNN,RCNN,Small,None,None,None,0.00,93.37,94.37,93.37,0,0,0,L0
1397,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1398,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1399,1,CRNN,MalConvBase,Small,operator,separated,targeted,100.00,99.84,100.00,50.00,2,1,1,L2
1400,1,CRNN,MalConvPlus,Small,operator,separated,targeted,100.00,99.84,99.68,49.84,2,1,1,L2
1401,1,CRNN,RCNN,Small,operator,separated,targeted,100.00,94.50,95.08,47.57,2,1,1,L2
1403,1,CRNN,MalConvBase,Small,constant,separated,stochastic-untargeted,48.87,100.00,100.00,74.60,1,1,2,L2
1404,1,CRNN,MalConvPlus,Small,constant,separated,stochastic-untargeted,55.02,100.00,100.00,74.76,1,1,2,L2
1405,1,CRNN,RCNN,Small,constant,separated,stochastic-untargeted,47.57,99.51,99.04,74.27,1,1,2,L2
1407,1,CRNN,MalConvBase,Small,constant,separated,stochastic-untargeted,44.66,100.00,100.00,77.18,1,1,2,L2
1408,1,CRNN,MalConvPlus,Small,constant,separated,stochastic-untargeted,46.28,99.68,99.68,74.27,1,1,2,L2
1409,1,CRNN,RCNN,Small,constant,separated,stochastic-untargeted,47.25,89.81,88.44,70.71,1,1,2,L2
1411,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1412,0,CRNN,MalConvPlus,Small,None,None,None,0.00,98.38,98.38,98.38,0,0,0,L0
1414,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,49.19,100.00,100.00,75.08,1,2,2,L2
1415,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,48.54,99.51,99.68,77.51,1,2,2,L2
1416,1,CRNN,RCNN,Small,constant,shared,stochastic-untargeted,47.90,94.98,97.93,78.48,1,2,2,L2
1418,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1419,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1420,0,CRNN,RCNN,Small,None,None,None,0.00,93.85,93.02,93.85,0,0,0,L0
1422,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1423,0,CRNN,MalConvPlus,Small,None,None,None,0.00,98.87,100.00,98.87,0,0,0,L0
1424,0,CRNN,RCNN,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1426,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1427,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1428,0,CRNN,RCNN,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1430,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1431,0,CRNN,MalConvPlus,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1432,0,CRNN,RCNN,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1434,1,CRNN,MalConvBase,Small,constant,interleaved,targeted,100.00,100.00,100.00,50.00,1,3,1,L1
1435,1,CRNN,MalConvPlus,Small,constant,interleaved,targeted,100.00,99.84,100.00,50.00,1,3,1,L1
1436,1,CRNN,RCNN,Small,constant,interleaved,targeted,100.00,94.50,95.08,47.57,1,3,1,L1
1438,1,CRNN,MalConvBase,Small,constant,shared,stochastic-untargeted,57.93,100.00,100.00,73.46,1,2,2,L2
1439,1,CRNN,MalConvPlus,Small,constant,shared,stochastic-untargeted,59.87,100.00,100.00,70.39,1,2,2,L2
1440,1,CRNN,RCNN,Small,constant,shared,stochastic-untargeted,60.84,89.64,93.29,67.80,1,2,2,L2
1442,1,CRNN,MalConvBase,Small,constant,interleaved,targeted,100.00,100.00,100.00,50.00,1,3,2,L1
1443,1,CRNN,MalConvPlus,Small,constant,interleaved,targeted,100.00,100.00,100.00,50.00,1,3,2,L1
1444,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1445,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1446,0,CRNN,RCNN,Small,None,None,None,0.00,96.28,95.54,96.28,0,0,0,L0
1448,0,CRNN,MalConvBase,Small,None,None,None,0.00,99.84,99.68,99.84,0,0,0,L0
1449,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1450,0,CRNN,RCNN,Small,None,None,None,0.00,98.38,100.00,98.38,0,0,0,L0
1451,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1452,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.68,100.00,99.68,0,0,0,L0
1453,0,CRNN,RCNN,Small,None,None,None,0.00,90.61,91.15,90.61,0,0,0,L0
1455,1,CRNN,MalConvBase,Small,constant,separated,targeted,100.00,100.00,100.00,50.00,1,1,1,L2
1456,1,CRNN,MalConvPlus,Small,constant,separated,targeted,100.00,100.00,100.00,50.00,1,1,1,L2
1457,1,CRNN,RCNN,Small,constant,separated,targeted,100.00,94.50,95.08,47.57,1,1,1,L2
1459,0,CRNN,MalConvBase,Small,None,None,None,0.00,100.00,100.00,100.00,0,0,0,L0
1460,0,CRNN,MalConvPlus,Small,None,None,None,0.00,99.84,100.00,99.84,0,0,0,L0
1461,0,CRNN,RCNN,Small,None,None,None,0.00,93.20,93.20,93.20,0,0,0,L0
1463,1,CRNN,MalConvBase,Small,operator,interleaved,targeted,100.00,100.00,100.00,50.00,2,3,1,L1
1464,1,CRNN,MalConvPlus,Small,operator,interleaved,targeted,100.00,99.84,100.00,50.00,2,3,1,L1
1465,1,CRNN,RCNN,Small,operator,interleaved,targeted,100.00,100.00,100.00,50.00,2,3,1,L1
